what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1380640494092
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1380640494093
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1380640494099
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1380640494099
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1380640494101
os,sysinfo,,,"win32",1380640494105
arch,sysinfo,,,"x86",1380640494105
ws,sysinfo,,,"win32",1380640494105
locale,sysinfo,,,"zh_CN",1380640494105
processors,sysinfo,,,"2",1380640494105
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1380640494105
java.runtime.version,sysinfo,,,"1.6.0_02-b06",1380640494105
java.specification.name,sysinfo,,,"Java Platform API Specification",1380640494105
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1380640494105
java.specification.version,sysinfo,,,"1.6",1380640494105
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1380640494105
java.version,sysinfo,,,"1.6.0_02",1380640494106
java.vm.info,sysinfo,,,"mixed mode",1380640494106
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1380640494106
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1380640494106
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1380640494106
java.vm.specification.version,sysinfo,,,"1.0",1380640494106
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1380640494106
java.vm.version,sysinfo,,,"1.6.0_02-b06",1380640494106
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1380640494199
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1380640494256
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1380640494452
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1380640496907
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1380640497030
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1380640497256
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1380640497449
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1380640499375
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1380640504073
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1380640505223
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1380640506744
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1380640507906
