what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396595484922
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396595500494
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396595503411
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396595504699
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396595506002
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396595746543
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396595747226
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597348001
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597350907
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597369933
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597373401
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597374383
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597376952
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597429199
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597460225
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597461306
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597466118
started,bundle,org.eclipse.jst.common.frameworks,1.1.501.v201201190400,"org.eclipse.jst.common.frameworks",1396597501453
started,bundle,org.eclipse.jst.j2ee.web,1.1.502.v201202090300,"org.eclipse.jst.j2ee.web",1396597501476
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597502114
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1396597502128
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1396597502128
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1396597504590
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1396597509252
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1396597509744
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1396597510273
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1396597510700
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1396597517635
started,bundle,org.eclipse.jst.server.core,1.2.202.v20110419,"org.eclipse.jst.server.core",1396597517650
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1396597517857
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1396597517882
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597517895
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1396597518230
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1396597518298
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1396597518831
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1396597518996
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1396597519132
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1396597519437
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1396597521502
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597533047
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597533264
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597537303
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1396597537334
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1396597539012
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1396597544328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597551815
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597551858
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597551913
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597563378
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1396597563435
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597563767
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597565449
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1396597566664
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1396597575367
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597582245
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597584204
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597584279
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597599393
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1396597599404
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1396597604675
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1396597604729
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1396597617392
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1396597621452
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1396597621530
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1396597640550
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597643063
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1396597646799
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597646836
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1396597646871
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1396597646871
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597652481
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597654234
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1396597654244
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1396597654244
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1396597654404
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597655915
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597667475
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597670457
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396597963355
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598023114
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598110758
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598111954
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598117888
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598120561
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598128443
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598154417
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598520011
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598527935
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598543576
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598548619
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598556820
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598561188
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598571756
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598575769
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598577793
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598586247
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598712542
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1396598713066
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1396598713094
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1396598715166
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1396598716599
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598726480
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598726596
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1396598742617
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1396598743672
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1396598745078
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1396598745078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598748131
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598753988
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598763499
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598774954
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1396598775474
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1396598775500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598777220
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598791400
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1396598792750
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1396598793417
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1396598794855
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1396598795589
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598799987
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598800058
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1396598805101
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1396598805836
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598806650
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598812427
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1396598815767
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1396598820849
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1396598825381
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1396598827043
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1396598828256
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1396598830205
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1396598830798
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1396598833233
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1396598833287
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1396598847099
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1396598848602
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598861257
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598867307
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598912666
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396598946864
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1396598957567
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1396599004223
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1396599006544
