what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1378183169549
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1378183169550
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1378183169550
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1378183169552
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1378183169553
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1378183169555
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1378183169556
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1378183169558
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1378183169560
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1378183169562
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1378183169564
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1378183169565
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1378183169568
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1378183169568
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1378183169569
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1378183169570
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1378183169572
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1378183169572
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1378183169572
started,bundle,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms",1378183169573
started,bundle,com.android.ide.eclipse.traceview,20.0.3.v201208082019-427395,"com.android.ide.eclipse.traceview",1378183169574
os,sysinfo,,,"win32",1378183169580
arch,sysinfo,,,"x86",1378183169580
ws,sysinfo,,,"win32",1378183169580
locale,sysinfo,,,"zh_CN",1378183169580
processors,sysinfo,,,"2",1378183169580
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1378183169580
java.runtime.version,sysinfo,,,"1.6.0_02-b06",1378183169580
java.specification.name,sysinfo,,,"Java Platform API Specification",1378183169580
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1378183169580
java.specification.version,sysinfo,,,"1.6",1378183169580
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1378183169580
java.version,sysinfo,,,"1.6.0_02",1378183169580
java.vm.info,sysinfo,,,"mixed mode",1378183169580
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1378183169580
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1378183169580
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1378183169580
java.vm.specification.version,sysinfo,,,"1.0",1378183169580
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1378183169580
java.vm.version,sysinfo,,,"1.6.0_02-b06",1378183169580
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183169737
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183170410
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183170751
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183171478
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183171902
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183172705
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183173279
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183174553
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1378183177158
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1378183177170
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1378183177997
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1378183177998
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1378183178002
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1378183178120
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1378183178130
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1378183178231
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1378183178484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183182876
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183190289
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183195233
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183198668
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183199607
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183200429
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183200807
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183201527
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183201870
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183202492
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183202850
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183204144
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183204480
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183205124
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183205519
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183206279
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183206711
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183207493
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183207878
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183208743
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183209190
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183210031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183210581
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183213737
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183214238
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183215266
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183217885
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183219121
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183231301
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183236449
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1378183236466
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1378183236466
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183237070
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183237987
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183238887
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183247164
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183247864
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183248516
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183249333
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183250040
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183250902
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183252256
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183253655
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183264211
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183265382
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183266308
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183266695
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183268312
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183268990
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183290225
activated,perspective,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.Perspective",1378183291392
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1378183291409
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.FileExplorerView",1378183293816
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183311294
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183314218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183333013
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183336328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183336641
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183337300
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183340067
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183438715
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183438936
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183444344
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183445769
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183449740
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183451209
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378183466424
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378184198360
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378184199316
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378184200321
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378184202977
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378184203821
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1378184204020
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1378184204504
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1378184204792
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1378184204800
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1378184204802
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1378184204803
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1378184204805
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1378184204806
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1378184204808
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1378184204810
activated,perspective,com.android.ide.eclipse.ddms,,"com.android.ide.eclipse.ddms.Perspective",1378364208478
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1378364208480
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1378364208481
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1378364208483
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1378364208484
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1378364208485
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1378364208487
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1378364208488
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1378364208489
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1378364208490
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1378364208491
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1378364208493
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1378364208536
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1378364208537
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1378364208539
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1378364208540
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1378364208542
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1378364208588
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1378364208713
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1378364208755
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1378364208885
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1378364208886
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1378364208887
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1378364208888
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1378364208890
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1378364208890
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1378364208892
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1378364208893
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1378364208896
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1378364208897
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1378364208899
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1378364208900
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1378364208902
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1378364208904
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1378364208905
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1378364208906
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1378364208908
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1378364209263
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1378364209338
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1378364209360
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1378364209461
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1378364209472
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1378364209573
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1378364209645
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1378364209681
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1378364209742
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1378364209760
