what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396165111990
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396165114469
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396165115300
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396165117074
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1396165125076
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1396165128766
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1396165129302
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396165133275
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396165134419
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1396165137585
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1396165141171
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1396165147857
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1396165148422
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1396165153648
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1396165155087
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1396165155329
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1396165156948
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1396165157130
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1396165157153
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1396165157267
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1396165157268
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1396165157429
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1396165157446
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1396165164311
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1396165165320
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396165167562
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1396165173178
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396165173540
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1396165180465
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1396165180922
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396165182876
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396165187371
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396165187716
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396165188449
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396165190493
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396165315811
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396165317554
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396165335823
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1396165337145
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1396165341864
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396165344012
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396165429944
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1396165434428
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396165438265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396165438387
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396165442376
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1396165442462
